symbol,level_type,side,horizon_minutes,events,mean_return_bps,median_return_bps,positive_rate,clears_7_5bp_rate,median_mfe_bps,median_mae_bps
BTCUSDT,confirmed_1h_swing_high,short,5,174,1.9881862859880683,3.0830432834849653,0.6149425287356322,0.3563218390804598,8.125451545940576,4.660424796760765
BTCUSDT,confirmed_1h_swing_high,short,15,174,4.190653086001659,4.978278546550752,0.632183908045977,0.4540229885057471,14.466652033306993,8.818764882192465
BTCUSDT,confirmed_1h_swing_high,short,60,174,8.00415458846235,4.278073490454615,0.5804597701149425,0.4367816091954023,26.452816391984157,19.279674547013627
BTCUSDT,confirmed_1h_swing_low,long,5,156,0.6868053991191405,1.3149320670313713,0.532051282051282,0.3076923076923077,8.125557016296359,8.002162941697089
BTCUSDT,confirmed_1h_swing_low,long,15,156,-2.403852338205637,0.212571245336024,0.5064102564102564,0.3141025641025641,13.825592680198895,13.752414141481317
BTCUSDT,confirmed_1h_swing_low,long,60,156,0.9468064921902339,4.909982273106905,0.5512820512820513,0.46153846153846156,26.361764550354437,24.97896892501572
BTCUSDT,previous_day_high,short,5,50,-7.1051101159262275,-0.4901254040462488,0.5,0.22,9.869500635404371,13.423316063013724
BTCUSDT,previous_day_high,short,15,50,-6.898755241778898,-1.0894869568667254,0.48,0.42,16.936697376134234,19.207625382805517
BTCUSDT,previous_day_high,short,60,50,-10.0435852384263,4.67953953260547,0.54,0.42,31.224842644236304,31.27105044958278
BTCUSDT,previous_day_low,long,5,43,-1.335413370631144,-2.0501297257224937,0.4418604651162791,0.2558139534883721,9.430178041760495,11.990318098284991
BTCUSDT,previous_day_low,long,15,43,-5.110692695985047,2.503030880929291,0.5813953488372093,0.4186046511627907,19.23047364007502,19.050594835585688
BTCUSDT,previous_day_low,long,60,43,-18.57221470083456,-3.75230244960445,0.4883720930232558,0.46511627906976744,35.304888411333835,40.365241994255726
BTCUSDT,session_vwap,long,5,3376,0.08232428603032377,-0.14906317901297594,0.48933649289099523,0.21504739336492892,5.3688258227435615,5.393314796439119
BTCUSDT,session_vwap,long,15,3376,-0.18279114530903648,-0.16141400597857736,0.49644549763033174,0.30953791469194314,9.698706636305232,9.631119902634433
BTCUSDT,session_vwap,long,60,3376,0.011152446494882298,0.9646606688340498,0.5156990521327014,0.403436018957346,21.06758064063463,19.80535452901111
BTCUSDT,session_vwap,short,5,3294,-0.24430477297263473,-0.15969495067769124,0.4914996964177292,0.20036429872495445,5.256086684074512,5.558804016548846
BTCUSDT,session_vwap,short,15,3294,-0.03242075702419986,-0.2397187802927192,0.4933211900425015,0.2947783849423194,9.6051417859766,10.165290239787517
BTCUSDT,session_vwap,short,60,3294,0.24315741870575003,-1.0839325880984685,0.4839101396478446,0.37765634486945965,19.955633835752053,21.76272121001577
ETHUSDT,confirmed_1h_swing_high,short,5,178,1.0222605443659558,1.6625135502396082,0.5393258426966292,0.38202247191011235,14.697721670087205,12.881848112710204
ETHUSDT,confirmed_1h_swing_high,short,15,178,-2.5602150729901756,0.24121463015835953,0.5112359550561798,0.4438202247191011,20.428617167608245,22.905737071423626
ETHUSDT,confirmed_1h_swing_high,short,60,178,-2.694391985635588,-0.6803758539630778,0.47752808988764045,0.42134831460674155,34.4994315739211,44.56762723103913
ETHUSDT,confirmed_1h_swing_low,long,5,180,-5.289165637510714,2.388233491149583,0.5555555555555556,0.35555555555555557,15.120721549031213,17.122600585560697
ETHUSDT,confirmed_1h_swing_low,long,15,180,-7.780775339244768,-0.5194343898795584,0.4888888888888889,0.42777777777777776,20.547770388087415,31.60817881648681
ETHUSDT,confirmed_1h_swing_low,long,60,180,-13.004073235000327,1.8792232338615822,0.5166666666666667,0.4444444444444444,41.798309406089196,58.52133916686819
ETHUSDT,previous_day_high,short,5,44,6.172578400047625,4.622349763204747,0.6363636363636364,0.45454545454545453,22.147578173197235,15.568693327647765
ETHUSDT,previous_day_high,short,15,44,6.640890606681084,10.722720432296828,0.6363636363636364,0.5681818181818182,30.963727188313417,30.263018049798696
ETHUSDT,previous_day_high,short,60,44,20.039380654191984,19.926532446160607,0.6590909090909091,0.5909090909090909,52.361684995072544,42.74407394166957
ETHUSDT,previous_day_low,long,5,56,-11.379236269957085,-4.457552984305502,0.48214285714285715,0.35714285714285715,17.588159545542936,35.133305850714166
ETHUSDT,previous_day_low,long,15,56,-28.752242547003657,-17.7872779281979,0.42857142857142855,0.39285714285714285,29.604447443336568,51.41934833577499
ETHUSDT,previous_day_low,long,60,56,-50.13070022965991,-9.857884103040004,0.4642857142857143,0.42857142857142855,44.84888385691943,74.40598845658064
ETHUSDT,session_vwap,long,5,3559,0.04640060191220073,-0.12946995002316442,0.4950828884518123,0.2936218038774937,9.270125287925701,9.797683597063678
ETHUSDT,session_vwap,long,15,3559,0.11476536054655453,0.13795196512456087,0.500702444506884,0.38353470075864005,17.27993494612834,17.17132857290249
ETHUSDT,session_vwap,long,60,3559,0.7662261163125305,1.060417274196812,0.5080078673784771,0.43973026130935655,34.89249012132323,35.43849286990364
ETHUSDT,session_vwap,short,5,3521,-0.19213458310371934,0.03266266004664509,0.5004260153365521,0.29537063334280034,9.793295443916161,9.371704410789938
ETHUSDT,session_vwap,short,15,3521,-0.6744805902861845,-0.9154973095815144,0.4845214427719398,0.35302470888952003,16.685115059713596,17.372480892230424
ETHUSDT,session_vwap,short,60,3521,-0.8953978065959384,-1.5936546419759168,0.48878159613746097,0.42629934677648396,35.654663851145685,35.615501466725874
