period,start,end,tf_minutes,signal_mode,cost_case,final_equity,return_pct,net_pnl,gross_pnl,fees,funding,max_drawdown_pct,trade_count,win_rate,profit_factor,forced_count,best_trade_net_share
2025_published_window,2025-01-01,2026-01-01,15,forming_anchor,baseline_2bps,13476.245280324962,0.3476245280324961,3476.2452803249616,3625.996354959344,126.28581174704593,23.465262887336582,0.11095438567102128,12,0.4166666666666667,2.5770249826079956,0,1.0127278002924813
2025_published_window,2025-01-01,2026-01-01,15,forming_anchor,stress_10bps,13259.999183991082,0.32599991839910825,3259.9991839910817,3408.647859647234,125.27840894782375,23.370266708328693,0.11627869729162194,12,0.4166666666666667,2.4117978465562246,0,1.0684955499575528
2025_published_window,2025-01-01,2026-01-01,15,closed_anchor_once,baseline_2bps,14135.285509062634,0.4135285509062634,4135.285509062636,4279.227928657872,109.132050333179,34.81036926205698,0.12823250485702206,10,0.5,3.501931522206834,0,0.8855805708680587
2025_published_window,2025-01-01,2026-01-01,15,closed_anchor_once,stress_10bps,13949.9133653918,0.39499133653917995,3949.913365391793,4093.1129064040306,108.44023470644854,34.75930630578931,0.13310163147333212,10,0.5,3.27215080420955,0,0.9184754789793856
2025_published_window,2025-01-01,2026-01-01,30,forming_anchor,baseline_2bps,13768.150997982906,0.37681509979829064,3768.1509979829016,3916.3179722203913,122.14642249288745,26.020551744602415,0.1153309012186726,11,0.45454545454545453,2.7770123225938166,0,0.9435331763455864
2025_published_window,2025-01-01,2026-01-01,30,forming_anchor,stress_10bps,13563.991476517256,0.35639914765172565,3563.991476517268,3711.204253106356,121.25875684573401,25.95401974335419,0.11940702663368294,11,0.45454545454545453,2.6080632007520697,0,0.9881349982598437
2025_published_window,2025-01-01,2026-01-01,30,closed_anchor_once,baseline_2bps,13603.703973445576,0.36037039734455756,3603.703973445583,3734.317128772278,105.2564754352711,25.356679891424122,0.13496907165815114,10,0.4,2.8734338456848763,0,0.9811677030575875
2025_published_window,2025-01-01,2026-01-01,30,closed_anchor_once,stress_10bps,13425.529285679939,0.3425529285679938,3425.5292856799315,3555.4340727975023,104.59185349638221,25.312933621188883,0.138785199778276,10,0.4,2.6985855003983352,0,1.0226833782971785
2025_published_window,2025-01-01,2026-01-01,60,forming_anchor,baseline_2bps,13441.737967028843,0.3441737967028844,3441.7379670288383,3586.7421830487674,119.38549905915984,25.618716960769273,0.11622825884706596,11,0.45454545454545453,2.651353689660175,0,1.0280813220813039
2025_published_window,2025-01-01,2026-01-01,60,forming_anchor,stress_10bps,13242.791488466644,0.32427914884666453,3242.791488466649,3386.8535602098855,118.51355311595972,25.54851862727682,0.12063587332439188,11,0.45454545454545453,2.48901860537636,0,1.0808284235421033
