symbol,level_type,side,event_timestamp_ms,control_timestamp_ms,event_5m_bps,control_5m_bps,excess_5m_bps,event_15m_bps,control_15m_bps,excess_15m_bps,event_60m_bps,control_60m_bps,excess_60m_bps
BTCUSDT,session_vwap,short,1735689960000,1735865400000,13.835204023854297,-3.368485442150071,17.20368946600437,-16.367206613547847,2.5831943574772254,-18.950400971025072,-31.36691815755599,-7.0882853169162985,-24.27863284063969
BTCUSDT,session_vwap,long,1735690440000,1737248340000,14.846763245395245,14.988484808304836,-0.14172156290959137,10.350009773227864,11.53921170177874,-1.189201928550876,50.276053666242774,35.80902748753667,14.467026178706107
BTCUSDT,session_vwap,long,1735693680000,1736472780000,14.838658857740938,11.252679786890596,3.5859790708503425,-13.880639275822837,14.744890755233886,-28.625530031056723,-31.699803499539712,80.51486399239582,-112.21466749193553
BTCUSDT,session_vwap,short,1735694220000,1736474340000,0.7558064028501121,-3.4490946932308475,4.20490109608096,3.4170965537350106,-0.2686210820268542,3.685717635761865,28.678062665931094,-27.592757545835678,56.270820211766775
BTCUSDT,session_vwap,short,1735699380000,1737773280000,-4.847655758908331,-13.643021953297918,8.795366194389587,-18.591558899549998,-5.744430296126257,-12.84712860342374,1.406352879507189,-45.08420377409061,46.4905566535978
BTCUSDT,session_vwap,long,1735699560000,1736649360000,7.476062223841229,-2.2407826673342957,9.716844891175525,3.674133144195846,-13.275580331002512,16.949713475198358,-8.37063377199243,-14.501668960297254,6.131035188304823
BTCUSDT,session_vwap,short,1735701360000,1737863040000,6.946560493674703,-5.178106887930856,12.124667381605558,6.307306460514583,3.1601681742510213,3.147138286263562,18.932573615428883,-10.280065145154005,29.212638760582887
BTCUSDT,session_vwap,short,1735709460000,1735708380000,-0.14921587059957275,1.2602879010215062,-1.409503771621079,2.9630008590575407,-22.695862624346752,25.658863483404293,28.56418094342783,3.4818123367219567,25.08236860670587
BTCUSDT,session_vwap,long,1735710180000,1736658660000,-3.921531016858326,-1.0365072666562725,-2.8850237502020537,-9.580044522163877,1.3538054095096896,-10.933849931673567,-23.966095806838837,-6.589224766601065,-17.376871040237774
BTCUSDT,session_vwap,long,1735731900000,1736508420000,-15.538231524989676,-2.5634182285416696,-12.974813296448007,-26.324220418624257,7.679705639414003,-34.00392605803826,8.85305425031957,-1.1181988980468738,9.971253148366443
BTCUSDT,session_vwap,short,1735732020000,1736334660000,11.74485347787635,17.589672379310084,-5.844818901433735,22.94467735850847,32.71720793684318,-9.77253057833471,-12.118893397554675,57.87064809492093,-69.98954149247561
BTCUSDT,session_vwap,short,1735734000000,1736685180000,-20.26154058238916,7.795825631955466,-28.057366214344626,-15.420571234383562,3.6966618825429176,-19.117233116926478,-7.929358181504309,-17.890148766808167,9.960790585303858
BTCUSDT,session_vwap,long,1735734060000,1735907880000,15.391895168483938,-6.335524411923421,21.727419580407357,16.90865374858408,-11.82355616189068,28.732209910474758,-2.296500667052781,-26.086237545991374,23.78973687893859
BTCUSDT,session_vwap,long,1735737240000,1736515560000,3.760012903679666,-126.5377485675756,130.29776147125528,7.637526210602097,-188.79550050556082,196.4330267161629,61.77316653973142,-63.11088641725582,124.88405295698723
BTCUSDT,session_vwap,short,1735737900000,1738243140000,-17.393831386678382,6.887660826880859,-24.28149221355924,-15.7377847865936,21.96451287137524,-37.70229765796884,-45.728254505514876,51.90921208010124,-97.63746658561612
BTCUSDT,session_vwap,long,1735741860000,1737468600000,32.3622179901939,29.29678147225223,3.0654365179416665,19.108103669993604,80.61164094538941,-61.50353727539581,37.341840989013605,-100.78131135420332,138.12315234321693
BTCUSDT,confirmed_1h_swing_high,short,1735747080000,1736090400000,10.941266687285456,-1.5957316224901597,12.536998309775615,19.668859862815857,-30.68714658636118,50.35600644917704,36.424991420690446,-29.06072781728275,65.4857192379732
BTCUSDT,session_vwap,long,1735751940000,1738258260000,13.959688599765041,-0.9804892165232726,14.940177816288314,22.491201876932987,-1.304145851104277,23.795347728037264,35.13917031033431,9.071905081026177,26.06726522930813
BTCUSDT,session_vwap,short,1735776060000,1735863660000,4.3782049994034455,-16.320919511716436,20.699124511119884,9.623590699169293,-20.57944949197532,30.203040191144616,-81.10254623289181,1.1886673488581412,-82.29121358174996
BTCUSDT,session_vwap,long,1735776360000,1737160500000,-7.05686436114239,16.941514860977502,-23.998379222119894,-4.03098249114664,19.290508149567565,-23.321490640714202,93.31565766907745,-3.096836049856222,96.41249371893367
BTCUSDT,previous_day_high,short,1735777560000,1737677640000,22.41838602355717,26.275777144409986,-3.8573911208528173,-9.567283049489728,16.071872488769845,-25.639155538259573,-10.651364627154436,20.55234053869759,-31.203705165852025
BTCUSDT,confirmed_1h_swing_high,short,1735777560000,1736987700000,22.41838602355717,26.696651674164016,-4.278265650606848,-9.567283049489728,23.468265867067075,-33.035548916556806,-10.651364627154436,2.8985507246381825,-13.549915351792619
BTCUSDT,session_vwap,long,1735781040000,1737942960000,1.1467696865641308,-45.33954412181962,46.486313808383755,-4.355620644380664,-16.23632523093388,11.880704586553215,-8.9532202134468,-55.04390113181379,46.09068091836699
BTCUSDT,session_vwap,short,1735781400000,1735694280000,23.13691516920624,13.285330142583929,9.851585026622312,1.852637429380355,5.056515879588996,-3.2038784502086415,7.094759246607518,25.559357109247173,-18.464597862639657
BTCUSDT,session_vwap,short,1735783620000,1735871820000,-2.726195262947595,0.35010724608763866,-3.0763025090352336,2.705143562073964,11.738890015867698,-9.033746453793734,0.09473265392467844,20.728408422756583,-20.633675768831907
BTCUSDT,session_vwap,long,1735783740000,1737252180000,-2.736237252818352,17.22384498922036,-19.960082242038713,-5.946054030161463,19.431785162642434,-25.377839192803897,-5.546142431672729,25.931349309518126,-31.477491741190853
BTCUSDT,session_vwap,short,1735785420000,1737513240000,-5.201144251734124,-7.010584756363958,1.8094405046298334,-15.24545926419485,16.681983646372743,-31.927442910567592,0.03158589626628405,26.17410782524754,-26.142521928981253
BTCUSDT,session_vwap,long,1735785540000,1737253800000,-5.123381979160735,2.0734614060358147,-7.19684338519655,6.522580753758334,-8.094108516218945,14.616689269977279,-13.465973169048961,-21.57160765544841,8.105634486399449
BTCUSDT,session_vwap,short,1735787220000,1736997720000,5.326130776510674,-2.913615324411367,8.23974610092204,-11.252240711638883,29.869580549910513,-41.1218212615494,-9.125998781094324,-6.088451333079448,-3.0375474480148767
BTCUSDT,session_vwap,long,1735787700000,1737170040000,5.008675741908775,-14.201482818793076,19.21015856070185,2.1360528899316833,-19.922323063611415,22.0583759535431,12.71109305930107,-85.38138455833067,98.09247761763174
BTCUSDT,session_vwap,long,1735790400000,1736483460000,-12.217278301608347,3.0565319477049435,-15.273810249313291,4.699761962838611,15.464341707447371,-10.76457974460876,43.91701503082768,32.093585450907455,11.823429579920223
BTCUSDT,session_vwap,long,1735832100000,1736781120000,9.988111862699878,5.391273282344677,4.5968385803552,24.451147023552,-5.13145288319361,29.58259990674561,127.15634717513913,-70.8443621679844,198.00070934312353
BTCUSDT,session_vwap,short,1735833840000,1737044640000,-25.491942465205586,-22.438790959338206,-3.0531515058673797,-86.48531664114057,-4.101714476436591,-82.38360216470397,-123.69314776586648,1.1963333889619676,-124.88948115482845
BTCUSDT,session_vwap,long,1735833960000,1736353440000,20.25870890728587,-25.247612728330758,45.50632163561663,74.00142745979777,-16.9509170004456,90.95234446024337,93.6887368850825,-197.20688425951872,290.89562114460125
BTCUSDT,session_vwap,long,1735839600000,1736272320000,22.998808045535668,26.81999053412154,-3.8211824885858725,17.064970335998186,36.110575490386765,-19.04560515438858,45.32331635135334,-5.3825586539058,50.705875005259145
BTCUSDT,session_vwap,short,1735862520000,1736037480000,-7.033400401585954,3.7252325471315295,-10.758632948717484,15.37653958762708,4.98733319151623,10.38920639611085,19.9554688813286,16.855150541125184,3.1003183402034153
BTCUSDT,session_vwap,long,1735862760000,1736035260000,-7.578632175470057,-8.371098324762016,0.7924661492919594,-24.354733603345615,7.770253067875821,-32.124986671221436,-18.157784028572934,-2.0978664901472044,-16.05991753842573
