side,qty,entry_ts,exit_ts,entry_price,exit_price,initial_stop,exit_label,gross_pnl,fees,funding,net_pnl,hold_minutes
long,2.681,1739103300000,1739137500000,2659.3967399999997,2542.625472250733,2545.1706428936263,stop,-313.06376883578434,6.9733107755221075,0.356911835504,-320.39399144681045,570.0
short,2.618,1739189700000,1739398800000,2644.14321,2760.0998008470556,2757.342458388667,stop,-303.574354837591,7.074154101198795,-1.773720903801,-308.8747880349888,3485.0
short,2.655,1741539600000,1742069700000,2045.9619900000002,1947.15521,2153.5550193055296,stop,262.3320009000009,5.300863082999999,-2.015269514721,259.0464073317219,8835.0
short,3.438,1750349700000,1750709880000,2496.13137,2342.128773138746,2582.401721927586,stop,529.4609280089913,8.316969186055506,-1.8311079762431999,522.975066799179,6003.0
long,3.698,1752005700000,1753289340000,2606.5939899999994,3564.525743833362,2540.5070186802363,stop,3542.4316256757747,11.410400387857885,47.72660432819259,3483.294620959724,21394.0
short,3.208,1754007300000,1754315100000,3653.2331099999997,3612.9931233523625,3783.981411099438,stop,129.0898771656199,11.655026878297189,-4.408960150212801,121.84381043753551,5130.0
short,3.041,1757232900000,1757511960000,4295.7,4411.382564398282,4406.975588809473,stop,-351.7906783351756,13.239119039167587,-7.0209909272471,-358.00880644709605,4651.0
long,2.867,1757578500000,1757593800000,4436.44201,4330.069103506563,4334.403507013577,stop,-304.9711229166835,12.566793681211658,0.0,-317.53791659789516,255.0
short,2.774,1758399300000,1759075620000,4477.50801,4049.0851964732133,4568.823884595769,stop,1188.4448847233052,11.826384777378347,-5.332661597948,1181.9511615438748,11272.0
short,2.82,1761178500000,1761281040000,3806.19,3965.214157327103,3961.252904422681,stop,-448.44812366242985,10.957679861831213,-1.1196774690779998,-458.28612605518305,1709.0
short,4.582,1764549900000,1764687780000,2860.7663700000003,2913.58252119224,2952.335293467274,stop,-242.00360476284314,13.229033309721423,-2.2941023842256,-252.93853568833896,2298.0
long,4.224,1766982600000,1767001020000,3046.4734299999996,2980.36078713164,2983.344131262903,stop,-279.2598034759513,12.728673866582024,1.0832414681088,-293.07171881064204,307.0
