side,qty,entry_ts,exit_ts,entry_price,exit_price,initial_stop,exit_label,gross_pnl,fees,funding,net_pnl,hold_minutes
long,2.61,1739132100000,1739896500000,2632.0694399999998,2639.865293426408,2514.8471622787756,stop,20.347177442924956,6.879874827121462,8.492542515530998,4.974760100272496,12740.0
short,2.694,1741551300000,1742074740000,2047.7302200000001,1955.1932832327527,2160.82471930553,stop,249.29450765096456,5.391937958854518,-2.0448723437508,245.94744203586083,8724.0
short,3.603,1750378500000,1750710180000,2524.91256,2355.85879591865,2612.5215040347994,stop,609.1007119851057,8.792709597687448,-1.1794083255596999,601.4874107129781,5528.0
long,3.945,1752020100000,1753302780000,2611.42882,3546.9052920366207,2543.441604394522,stop,3690.4546821844683,12.147314035992235,50.408797943172,3627.898570205304,21378.0
short,3.185,1754036100000,1754316120000,3608.40798,3628.4921638025444,3747.980039898458,stop,-63.96812541110401,11.524763479005552,-4.248008244298,-71.24488064581156,4667.0
short,3.186,1757247300000,1757511960000,4293.702,4411.317628098282,4406.910717380902,stop,-374.72339112112445,13.867096267560562,-7.355763595596599,-381.2347237930884,4411.0
long,2.988,1757592900000,1757593800000,4457.032579999999,4347.703223163706,4352.055278442148,stop,-326.6761182268444,13.154275289926575,0.0,-339.830393516771,15.0
short,2.903,1758413700000,1759091700000,4476.169349999999,4057.8069483465547,4569.563184595769,stop,1214.5060519999495,12.387066597050023,-5.8890168854676,1208.008002288367,11300.0
short,2.886,1761192900000,1761281700000,3817.39878,3979.5295012271026,3975.553947279823,stop,-467.9092614614182,11.25096750981071,-1.1458826864394,-478.01434628478955,1480.0
short,4.552,1764562500000,1764687780000,2815.37181,2915.836073760741,2912.923150610131,stop,-457.31332863889196,13.044229143439447,-2.2790820718016,-468.0784757105298,2088.0
