side,qty,entry_ts,exit_ts,entry_price,exit_price,initial_stop,exit_label,gross_pnl,fees,funding,net_pnl,hold_minutes
long,2.681,1739104200000,1739137500000,2655.531,2542.9219567650475,2543.430642893626,stop,-301.90484491290744,6.968526188543546,0.356911835504,-309.23028293695495,555.0
short,2.745,1741539600000,1742214600000,2047.6003980000003,1944.1495617864855,2153.5550193055296,stop,283.97254540609805,5.478676819806951,-2.0452984673310004,280.5391670536221,11250.0
short,3.548,1750350600000,1750709880000,2498.6101780000004,2340.4981401814225,2583.153850499015,stop,560.9815101803142,8.584578156453844,-1.8896949097472,554.2866269336075,5988.0
long,3.826,1752006600000,1753290480000,2611.912278,3557.1698613834983,2547.120175823093,stop,3616.5555140252654,11.801454132640632,49.3785798160262,3555.3754800765987,21398.0
short,3.307,1754008200000,1754315220000,3687.9722580000002,3611.1207693506726,3816.0400968137237,stop,254.14787296332645,12.069050320724337,-4.5450221997362,246.62384484233831,5117.0
short,3.159,1757233800000,1757512020000,4306.118603999999,4416.4408003472345,4415.557688809473,stop,-348.5078182609158,13.777282579166457,-7.2934266159728995,-354.9916742241094,4637.0
long,2.995,1757579400000,1757593800000,4428.355494,4328.717947383603,4329.583864156434,stop,-298.4144521161097,13.113717478471948,0.0,-311.52816959458164,240.0
short,2.894,1758400200000,1759075620000,4481.313558,4046.41372723816,4569.063713167197,stop,1258.6001102247646,12.339621381739619,-5.563346310188001,1251.8238351532132,11257.0
short,2.931,1761179400000,1761280440000,3805.048838,3958.7929189721367,3958.001318708395,stop,-450.6239013293322,11.377910094842667,-1.1637498800949002,-460.83806154408,1684.0
short,4.67,1764550800000,1764687780000,2834.253036,2917.7456317827655,2927.378150610131,stop,-389.9104223055145,13.430916889272758,-2.3381619673359997,-401.00317722745126,2283.0
long,4.382,1766982600000,1767001020000,3044.038686,2982.7474624366505,2983.344131262903,stop,-268.57814165459695,13.204688451224701,1.1237604434783999,-282.9065905493,307.0
