side,qty,entry_ts,exit_ts,entry_price,exit_price,initial_stop,exit_label,gross_pnl,fees,funding,net_pnl,hold_minutes
long,2.61,1739145600000,1740434520000,2628.69607,2617.5992247385843,2511.487162278776,stop,-28.962766132294814,6.846415359633852,13.558562398557001,-49.36774389048567,21482.0
short,2.68,1741564800000,1741598220000,2017.3206599999999,2132.3749640248348,2130.2447193055295,stop,-308.34553478655755,5.560592136193279,-0.143140542,-313.7629863807508,557.0
short,3.387,1750392000000,1750716660000,2513.6438399999997,2400.61350591865,2601.241504034799,stop,382.83374153353174,8.322294815313235,-1.1087027473413,375.6201494655598,5411.0
long,3.666,1752033600000,1753340700000,2593.0104199999996,3508.2340020366205,2525.041604394522,stop,3355.209651746252,11.183581025593124,48.17360658483361,3295.8524641358254,21785.0
short,2.927,1754049600000,1754316120000,3637.39896,3636.069733802544,3777.0100398984578,stop,3.8906450799541132,10.644721433380024,-3.9038995701915993,-2.850176783234311,4442.0
short,2.942,1757260800000,1757511960000,4292.87283,4410.476788098282,4406.070717380901,stop,-345.9908447251442,12.802627288222574,-6.3708021593912,-352.4226698539756,4186.0
long,2.785,1757606400000,1757926020000,4414.810399999999,4525.9721971232775,4309.895278442148,stop,309.5856049883296,12.450039766494164,10.643846808388501,286.49171841344696,5327.0
short,2.811,1758427200000,1759097100000,4471.64388,4093.8929983465546,4565.023184595769,stop,1061.857728327834,12.038862082516083,-5.7023859679812,1055.521252213299,11165.0
short,2.77,1761206400000,1761478920000,3875.8802400000004,4038.128041227103,4034.0939472798236,stop,-449.42640939907426,10.96090146949954,-4.3406695505220005,-456.0466413180518,4542.0
short,4.369,1764576000000,1764687840000,2835.59157,2936.106323760741,2933.173150610131,stop,-439.1489591806768,12.608274048920338,-1.2255047870432998,-450.53172844255386,1864.0
