side,qty,entry_ts,exit_ts,entry_price,exit_price,initial_stop,exit_label,gross_pnl,fees,funding,net_pnl,hold_minutes
long,3.113,1767357000000,1767799080000,3049.8698520000003,3149.3065820661313,2991.655555510573,stop,309.54654069586604,9.649018119623934,8.396969090860901,291.5005534853812,7368.0
short,4.678,1771878600000,1771981980000,1849.200086,1915.7523880358879,1915.3693141730532,stop,-311.33166892388317,8.806223836769941,0.6224103989876,-320.7603031596407,1723.0
long,4.366,1773621000000,1773845580000,2168.313576,2197.4964988841807,2101.0613930223576,stop,127.41264131233292,9.530563393472166,2.5890773477018,115.29300057115896,3743.0
short,4.913,1780432200000,1780870440000,1895.400844,1694.700028936645,1957.176952913418,stop,986.0431044062636,8.81908279436887,-0.34291501285309917,977.566936624748,7304.0
short,6.316,1782246600000,1782753300000,1663.11731,1627.3044359461367,1713.7321185887088,stop,226.1941125242014,10.3911518736979,0.011872500999999952,215.79108814950348,8445.0
long,5.998,1782995400000,1784246400000,1663.662666,1863.357254,1607.0865743040156,forced_close,1197.7681388240005,10.57753274008,22.18199229708,1165.0086137868407,20850.0
