side,qty,entry_ts,exit_ts,entry_price,exit_price,initial_stop,exit_label,gross_pnl,fees,funding,net_pnl,hold_minutes
long,3.138,1767342600000,1767799140000,3025.274934,3142.3814578105926,2972.1836412248585,stop,367.48027171763937,9.67705287875082,8.4644037928434,349.3388150460451,7609.0
short,2.873,1770827400000,1770996660000,1934.46303,2042.979439888748,2042.5709257036074,stop,-311.7676456103732,5.713596107995187,1.0007686864591,-318.48201040482746,2821.0
short,5.0,1771864200000,1771985220000,1896.0207200000002,1938.9427299360832,1956.4013856016247,stop,-214.61004968041493,9.587408624840208,0.665252671,-224.86271097625513,2017.0
long,4.399,1773577800000,1773844980000,2116.383192,2207.5492674924535,2059.5981836235624,stop,401.039566091304,9.51048944465365,3.6562310112286993,387.87284563542164,4453.0
short,5.015,1780417800000,1780870440000,1930.053912,1688.002139626645,1988.1891671991323,stop,1213.8896384523757,9.072275549453813,-0.35003435568050023,1205.1673972586023,7544.0
short,6.515,1782232200000,1782753300000,1661.107712,1622.8621476661367,1710.7602043029947,stop,249.1698516351193,10.69753181786244,0.01224657125000006,238.46007324600689,8685.0
long,6.61,1782982800000,1784246400000,1624.554846,1863.357254,1571.5834600183014,forced_close,1578.4839168800002,11.5275494905,24.445309950599995,1542.5110574389003,21060.0
