side,qty,entry_ts,exit_ts,entry_price,exit_price,initial_stop,exit_label,gross_pnl,fees,funding,net_pnl,hold_minutes
long,3.132,1767344400000,1767813420000,3031.446168,3122.6085496849764,2977.7161126534297,stop,285.5205794373463,9.637249687894673,8.8348364903268,267.0484932591249,7817.0
short,2.791,1770829200000,1770995460000,1914.0471140000002,2024.8414844516053,2024.436597132179,stop,-309.2270879304299,5.496719039139215,0.9722051527697,-315.6960121223388,2771.0
short,4.935,1771866000000,1771985220000,1883.8231600000001,1940.707782876083,1944.5096141730533,stop,-280.7256138934689,9.437030101546735,0.6566043862769999,-290.81924838129265,1987.0
long,4.349,1773579600000,1773844980000,2109.0617279999997,2203.3007173724536,2051.3795407664197,stop,409.84536478080224,9.3772321374624,3.6146734866637007,396.85345915667614,4423.0
short,4.975,1780419600000,1780870440000,1919.486026,1688.137316656645,1977.619167199132,stop,1150.9598289831913,8.973963064858406,-0.34724245653249947,1142.3331083748656,7514.0
short,6.413,1782234000000,1782753300000,1658.21829,1623.2031629885553,1707.8602043029946,stop,224.55200952439517,10.521877889007804,0.012054836749999659,214.01807679863737,8655.0
long,6.483,1782982800000,1784246400000,1624.554846,1863.357254,1571.5834600183014,forced_close,1548.156011064,11.30606707215,23.975634555179994,1512.87430943667,21060.0
