side,qty,entry_ts,exit_ts,entry_price,exit_price,initial_stop,exit_label,gross_pnl,fees,funding,net_pnl,hold_minutes
long,2.61,1739131200000,1740434520000,2623.2245399999997,2619.6954002939306,2508.127162278776,stop,-9.211054632840469,6.842010522083578,13.621002727554,-29.67406788247805,21722.0
short,2.685,1741550400000,1741598640000,2038.932132,2150.8147962493904,2150.3847193055294,stop,-300.40495350961345,5.6247352511748065,0.08697012122100001,-306.11665888200923,804.0
short,3.397,1750377600000,1750716660000,2519.665966,2398.6949336861476,2605.261504034799,stop,410.9385967701567,8.353835988116922,-1.1119761537403,403.6967369357801,5651.0
long,3.656,1752019200000,1753340700000,2614.492794,3511.043398634848,2548.5916043945217,stop,3277.789010545005,11.197480160136504,48.0422001293376,3218.549330255531,22025.0
short,2.922,1754035200000,1754316120000,3647.930268,3633.1637839653395,3784.640039898458,stop,43.147666349278296,10.637678409921364,-3.8972307974376,36.40721873679453,4682.0
short,2.936,1757246400000,1757512020000,4307.908246000001,4418.554251524378,4417.670717380902,stop,-324.8566722195707,12.810446946365788,-6.7785693398216,-330.8885498261149,4427.0
long,2.785,1757592000000,1757926020000,4428.945612,4529.596599283136,4327.545278442149,stop,280.3129995835329,12.474770029211768,11.6880215780285,256.1502079762926,5567.0
short,2.809,1758412800000,1759097100000,4477.364348,4090.621155790434,4567.1831845957695,stop,1086.3616269166714,12.033735640073665,-5.698328774122801,1080.0262200507207,11405.0
short,2.776,1761192000000,1761284940000,3824.424962,3980.309850069279,3979.5139472798232,stop,-432.7364492803184,10.83297191915216,-1.1022073241704,-442.46721387530016,1549.0
short,4.384,1764561600000,1764687780000,2824.245038,2920.117057240253,2919.533150610131,stop,-420.30293234926893,12.591641712766636,-2.1949683222272,-430.6996057398083,2103.0
