side,qty,entry_ts,exit_ts,entry_price,exit_price,initial_stop,exit_label,gross_pnl,fees,funding,net_pnl,hold_minutes
long,2.61,1739133000000,1739137740000,2640.988092,2525.36198884632,2525.8671622787756,stop,-301.78412923110506,6.742086855504448,0.0,-308.5262160866095,79.0
short,2.61,1741552200000,1742236860000,2042.051508,1950.2347561052122,2153.4947193055295,stop,239.6417224453961,5.209933574657302,-2.129829344568,236.56161821530682,11411.0
short,3.49,1750379400000,1750710180000,2521.34563,2353.9759916861476,2606.931504034799,stop,584.1200377153442,8.507436229842327,-1.142418833251,576.7550203187528,5513.0
long,3.83,1752021000000,1753302900000,2603.710638,3542.757054634848,2537.811604394522,stop,3596.5477757114677,11.770485631395733,48.93933995496802,3535.837950125104,21365.0
short,3.088,1754037000000,1754316120000,3603.259204,3625.5922699653397,3739.9600398984576,stop,-68.96450770096916,11.161346675802484,-4.1186340528704,-76.00722032390125,4652.0
short,3.088,1757248200000,1757511960000,4293.681092,4404.321405524377,4403.440717380901,stop,-341.6572881632769,13.429715856177639,-7.129503447332802,-347.9575005721218,4396.0
long,2.89,1757593800000,1757593800000,4472.554332,4370.291045386461,4371.1652784421485,stop,-295.54089831312797,12.777911570323436,0.0,-308.31880988345137,0.0
short,2.824,1758414600000,1759091700000,4473.9850240000005,4054.563945790434,4563.803184595769,stop,1184.4451248638159,12.042311145344094,-5.728757728060799,1178.1315714465327,11285.0
short,2.807,1761193800000,1761284940000,3827.844278,3983.730534069279,3982.9339472798233,stop,-437.5727207864666,10.963545248739234,-1.1145158353553,-447.4217501998506,1519.0
short,4.432,1764563400000,1764686700000,2806.68855,2902.563547240253,2901.983150610131,stop,-424.91798776880097,12.6517026474844,-2.2190008221056,-435.35068959417976,2055.0
