side,qty,entry_ts,exit_ts,entry_price,exit_price,initial_stop,exit_label,gross_pnl,fees,funding,net_pnl,hold_minutes
long,3.116,1767356100000,1767799080000,3047.119302,3149.3065820661313,2988.9155555105726,stop,318.41556468606507,9.654031527375032,8.4050612550988,300.3564719035912,7383.0
short,4.682,1771877700000,1771981980000,1846.7705720000001,1913.311900035888,1912.9293141730534,stop,-311.5464978640266,8.802353067036014,0.6229426011244,-320.971793532187,1738.0
long,4.358,1773620100000,1773844980000,2174.114736,2209.404116884181,2106.8513930223576,stop,153.79112189326034,9.55168758043463,2.5843332756033996,141.6551010372223,3748.0
short,4.93,1780431300000,1780870440000,1913.36725,1690.959280936645,1975.146952913418,stop,1096.4712874823404,8.88466489875883,-0.34410156999099917,1087.9307241535723,7319.0
short,6.399,1782245700000,1782753300000,1663.237286,1625.1039959461366,1713.8521185887087,stop,244.0149230546722,10.521047931586665,0.012028520250000091,233.48184660283553,8460.0
long,6.085,1782994500000,1783523820000,1654.9209179999998,1712.7814847864454,1598.3465743040156,stop,352.0815488955214,10.24623456047776,11.890937429959001,329.9443769050846,8822.0
