side,qty,entry_ts,exit_ts,entry_price,exit_price,initial_stop,exit_label,gross_pnl,fees,funding,net_pnl,hold_minutes
long,2.655,1739106000000,1739137740000,2656.7540999999997,2538.926589122161,2541.4680571793406,stop,-312.83204138066105,6.897266114809668,0.35345054952,-320.0827580449907,529.0
short,2.742,1741539600000,1742236440000,2045.9619900000002,1950.1189804341848,2153.5550193055296,stop,262.801532229466,5.478627010465267,-2.2375448516496,259.56045007065035,11614.0
short,3.495,1750352400000,1750716540000,2484.53298,2390.422118238746,2572.061864784729,stop,328.91746185558276,8.51898403417221,-1.861466659968,322.25994448137857,6069.0
long,3.747,1752008400000,1753291140000,2599.9273299999995,3551.2976351833618,2532.497218680236,stop,3564.784533522058,11.524319972271027,48.35900119462891,3504.9012123551583,21379.0
short,3.108,1754010000000,1754316000000,3676.32999,3624.1756447023627,3812.476825385152,stop,162.09570518505743,11.344985756327471,-4.271523736552799,155.02224316528276,5100.0
short,3.077,1757235600000,1757511960000,4295.040660000001,4412.3256064982825,4407.9176888094735,stop,-360.8857803752134,13.39628300100761,-7.1041069000787,-367.1779564761423,4606.0
long,2.902,1757581200000,1757593800000,4434.3999699999995,4327.7517802922775,4332.083864156434,stop,-309.49304653180906,12.713882189674095,0.0,-322.20692872148317,210.0
short,2.806,1758402000000,1759075620000,4477.29822,4054.8361416732128,4568.90838459577,stop,1185.428591784964,11.970584509427518,-5.394177521212001,1178.8521847967486,11227.0
short,2.826,1761181200000,1761281100000,3810.11607,3970.382177327103,3966.4157615655377,stop,-452.9120193063927,10.993844023473198,-1.1220597615654,-462.78380356830047,1665.0
short,4.507,1764550800000,1764687780000,2831.98518,2921.10858974224,2927.378150610131,stop,-401.67920770827476,12.964596810114138,-2.2565516031655997,-412.3872529152233,2283.0
long,4.225,1766984400000,1767001200000,3041.3883499999997,2975.2647596887828,2978.2430026914744,stop,-279.37216906489164,12.710179694217551,1.08349791732,-293.16584667642917,280.0
