side,qty,entry_ts,exit_ts,entry_price,exit_price,initial_stop,exit_label,gross_pnl,fees,funding,net_pnl,hold_minutes
long,3.136,1767341700000,1767799080000,3027.775434,3146.262931360593,2974.6836412248585,stop,371.57679172281934,9.68089215688541,8.459009016684801,353.43689054924914,7623.0
short,2.874,1770827400000,1770996660000,1934.46303,2042.979439888748,2042.5709257036074,stop,-311.8761620202619,5.715584829230131,1.0011170222358001,-318.59286387172784,2821.0
short,5.013,1771863300000,1771985220000,1883.403244,1938.7889991960833,1943.6459141730531,stop,-277.64879079796515,9.580324857570982,0.6669823279445999,-287.89609798348073,2032.0
long,4.375,1773576900000,1773843480000,2115.352986,2219.4568854924532,2058.62784076642,stop,455.4545602794835,9.48239659388974,3.6362833994375,442.3358802861562,4443.0
short,5.007,1780416900000,1780870440000,1932.1035020000002,1682.3265506854561,1988.8533814848465,stop,1250.633195231922,9.048725636898038,-0.3494759758508997,1241.9339455708748,7559.0
short,6.511,1782231300000,1782753300000,1666.8965540000002,1619.5670387761365,1716.5402043029947,stop,308.162473622576,10.699082226282712,0.012239052250000132,297.4511523440433,8700.0
long,6.643,1782965700000,1783523760000,1635.637062,1714.8519473487208,1582.4961976021266,stop,526.2244833715524,11.128649244551777,13.520098492282202,501.57573563471846,9301.0
