side,qty,entry_ts,exit_ts,entry_price,exit_price,initial_stop,exit_label,gross_pnl,fees,funding,net_pnl,hold_minutes
long,3.129,1767344400000,1767813420000,3033.8708399999996,3120.109963127917,2977.7161126534297,stop,269.842216267254,9.627902966493625,8.826374003267102,251.38793929749326,7817.0
short,2.787,1770829200000,1770995460000,1912.51557,2026.4610337293109,2024.436597132179,stop,-317.5660074135894,5.488963897296795,0.9708118096628999,-324.0257831205491,2771.0
short,4.923,1771866000000,1771985220000,1882.3158,1942.2600386512288,1944.5096141730533,stop,-295.105486879999,9.41419342684,0.6550077798666,-305.1746880867056,1987.0
long,4.328,1773579600000,1773844980000,2110.74864,2201.537724199921,2051.3795407664197,stop,392.93515641725827,9.331787692128628,3.5972193263464005,380.00614939878324,4423.0
short,4.951,1780419600000,1780870440000,1917.95013,1689.487556462009,1977.619167199132,stop,1131.118201586593,8.930211992836703,-0.3455673170436992,1122.5335569108,7514.0
short,6.375,1782234000000,1782753300000,1656.8914499999998,1624.501465858372,1707.8602043029946,stop,206.48614890287718,10.45943991929856,0.011983406250000023,196.0147255773286,8655.0
long,6.43,1782982800000,1784246400000,1625.85423,1861.86627,1571.5834600183014,forced_close,1517.5574172000004,11.2130214075,23.779628287799994,1482.5647675047003,21060.0
